"user_id","date_of_first_purchase","purchased_lifetime","chapters_read_first_5_days","searches_first_5_days","questions_answered_first_5_days","created_at","market","md_do","university_id","device_type","marketing_source","class"
am_184524,,false,69,39,140,"2019-01-01",RoW,,50,desktop,press_online,
am_184525,"2019-09-15",false,0,0,4,"2019-01-01",US,M.D.,155,desktop,friends,"2nd year"
am_184526,"2019-01-01",false,0,0,0,"2019-01-01",RoW,,2261,mobile,friends,"3rd year"
am_184527,,false,0,0,0,"2019-01-01",RoW,,1090,mobile,friends,"6th year"
am_184528,,false,0,0,0,"2019-01-01",RoW,,1965,mobile,advertisement,"1st year"
am_184529,,false,1,0,2,"2019-01-01",RoW,,2090,mobile,press_online,"6th year"
am_184530,"2019-01-01",false,1,2,0,"2019-01-01",RoW,,58,desktop,press_online,
am_184531,"2019-01-01",false,2,3,0,"2019-01-01",RoW,,347,desktop,friends,"5th year"
am_184532,,false,0,0,0,"2019-01-01",RoW,,206,desktop,friends,"6th year"
am_184533,,false,2,0,0,"2019-01-01",RoW,,334,mobile,friends,"5th year"
am_184534,,false,14,0,2,"2019-01-01",RoW,,50,desktop,friends,"5th year"
am_184535,,false,1,0,1,"2019-01-01",RoW,,937,mobile,,"2nd year"
am_184536,,false,1,0,0,"2019-01-01",RoW,,937,mobile,,"4th year"
am_184537,,false,0,0,0,"2019-01-01",RoW,,937,,university,
am_184538,,false,0,0,2,"2019-01-01",RoW,,2367,desktop,google,"2nd year"
am_184539,,false,2,1,23,"2019-01-01",US,M.D.,285,desktop,friends,"3rd year"
am_184540,,false,8,11,0,"2019-01-01",RoW,,2549,,university,"5th year"
am_184541,,false,34,46,0,"2019-01-01",RoW,,432,tablet,press_online,"5th year"
am_184542,,false,3,0,11,"2019-01-01",RoW,,2376,mobile,,"2nd year"
am_184543,,false,0,0,0,"2019-01-01",US,,50,mobile,facebook,
am_184544,"2019-07-14",false,1,0,1,"2019-01-01",US,M.D.,155,desktop,friends,
am_184545,"2019-09-15",false,4,5,0,"2019-01-02",RoW,,336,desktop,conference,"3rd year"
am_184546,,false,5,3,0,"2019-01-02",US,,50,mobile,google,"3rd year"
am_184547,,false,1,2,0,"2019-01-02",RoW,,628,mobile,friends,"5th year"
am_184548,,false,1,0,0,"2019-01-02",RoW,,50,mobile,friends,"6th year"
am_184549,,false,1,0,0,"2019-01-02",RoW,,1579,mobile,app_store,"5th year"
am_184550,,false,1,0,0,"2019-01-02",RoW,,50,mobile,,
am_184551,,false,0,0,0,"2019-01-02",RoW,,50,mobile,youtube,
am_184552,,false,6,7,0,"2019-01-02",RoW,,50,desktop,youtube,
am_184553,,false,1,0,0,"2019-01-02",RoW,,1241,,instagram,"5th year"
am_184554,,false,0,0,0,"2019-01-02",RoW,,50,desktop,press_online,
